Assureur,Canton,Hoheitsgebiet,Année,Erhebungsjahr,Region,ClasseAge,CouvertureAccident,Tarif,TypeTarif,Altersuntergruppe,Franchisestufe,Franchise,Prime,isBaseP,isBaseF,NomTarif
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST5,FRA-400,"88,8",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST7,FRA-600,"77,1",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST1,FRA-300,"382,1",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST2,FRA-500,"370,5",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST3,FRA-1000,"341,3",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST4,FRA-1500,"312,1",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST5,FRA-2000,283,0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_046_00000,TAR-HAM,,FRAST6,FRA-2500,"253,8",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST1,FRA-300,"509,4",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST2,FRA-500,"497,8",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST3,FRA-1000,"468,6",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST4,FRA-1500,"439,4",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST5,FRA-2000,"410,3",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_046_00000,TAR-HAM,,FRAST6,FRA-2500,"381,1",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST1,FRA-0,"112,1",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST2,FRA-100,"106,3",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST3,FRA-200,"100,5",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST4,FRA-300,"94,6",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST5,FRA-400,"88,8",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_131_00000,TAR-DIV,K1,FRAST7,FRA-600,"77,1",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST1,FRA-300,"382,1",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST2,FRA-500,"370,5",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST3,FRA-1000,"341,3",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST4,FRA-1500,"312,1",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST5,FRA-2000,283,0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_131_00000,TAR-DIV,,FRAST6,FRA-2500,"253,8",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST1,FRA-300,"509,4",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST2,FRA-500,"497,8",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST3,FRA-1000,"468,6",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST4,FRA-1500,"439,4",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST5,FRA-2000,"410,3",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_131_00000,TAR-DIV,,FRAST6,FRA-2500,"381,1",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST1,FRA-0,"124,5",1,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST2,FRA-100,"118,7",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST3,FRA-200,"112,9",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST4,FRA-300,107,1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST5,FRA-400,"101,2",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST7,FRA-600,"89,5",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST1,FRA-300,"424,5",1,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST2,FRA-500,"412,9",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST3,FRA-1000,"383,7",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST4,FRA-1500,"354,5",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST5,FRA-2000,"325,4",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST6,FRA-2500,"296,2",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST1,FRA-300,566,1,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST2,FRA-500,"554,4",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST3,FRA-1000,"525,2",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST4,FRA-1500,496,1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST5,FRA-2000,"466,9",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,BASE,TAR-BASE,,FRAST6,FRA-2500,"437,7",1,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST1,FRA-0,"97,3",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST2,FRA-100,"91,9",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST3,FRA-200,"86,5",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST4,FRA-300,81,0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST5,FRA-400,"75,6",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_016_24000,TAR-HAM,K1,FRAST7,FRA-600,"64,7",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST1,FRA-300,"331,6",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST2,FRA-500,"320,8",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST3,FRA-1000,"293,7",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST4,FRA-1500,"266,5",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST5,FRA-2000,"239,5",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_016_24000,TAR-HAM,,FRAST6,FRA-2500,"212,3",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST1,FRA-300,"442,2",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST2,FRA-500,"431,4",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST3,FRA-1000,"404,2",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST4,FRA-1500,"377,1",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST5,FRA-2000,350,0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_016_24000,TAR-HAM,,FRAST6,FRA-2500,"322,8",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST1,FRA-0,"104,2",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST2,FRA-100,"98,8",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST3,FRA-200,"93,4",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST4,FRA-300,"87,9",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST5,FRA-400,"82,6",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_046_00000,TAR-HAM,K1,FRAST7,FRA-600,"71,7",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST1,FRA-300,"355,3",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST2,FRA-500,"344,5",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST3,FRA-1000,"317,4",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST4,FRA-1500,"290,2",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST5,FRA-2000,"263,1",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_046_00000,TAR-HAM,,FRAST6,FRA-2500,236,0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST1,FRA-300,"473,7",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST2,FRA-500,463,0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST3,FRA-1000,"435,8",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST4,FRA-1500,"408,6",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST5,FRA-2000,"381,6",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_046_00000,TAR-HAM,,FRAST6,FRA-2500,"354,4",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST1,FRA-0,"104,2",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST2,FRA-100,"98,8",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST3,FRA-200,"93,4",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST4,FRA-300,"87,9",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST5,FRA-400,"82,6",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,01_131_00000,TAR-DIV,K1,FRAST7,FRA-600,"71,7",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST1,FRA-300,"355,3",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST2,FRA-500,"344,5",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST3,FRA-1000,"317,4",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST4,FRA-1500,"290,2",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST5,FRA-2000,"263,1",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,01_131_00000,TAR-DIV,,FRAST6,FRA-2500,236,0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST1,FRA-300,"473,7",0,1,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST2,FRA-500,463,0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST3,FRA-1000,"435,8",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST4,FRA-1500,"408,6",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST5,FRA-2000,"381,6",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,01_131_00000,TAR-DIV,,FRAST6,FRA-2500,"354,4",0,0,Callmed
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST1,FRA-0,"115,8",0,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST2,FRA-100,"110,4",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST3,FRA-200,105,0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST4,FRA-300,"99,5",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST5,FRA-400,"94,1",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,OHN-UNF,BASE,TAR-BASE,K1,FRAST7,FRA-600,"83,3",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST1,FRA-300,"394,8",0,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST2,FRA-500,384,0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST3,FRA-1000,"356,8",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST4,FRA-1500,"329,7",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST5,FRA-2000,"302,6",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,OHN-UNF,BASE,TAR-BASE,,FRAST6,FRA-2500,"275,5",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST1,FRA-300,"526,4",0,1,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST2,FRA-500,"515,6",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST3,FRA-1000,"488,4",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST4,FRA-1500,"461,3",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST5,FRA-2000,"434,2",0,0,Grundversicherung
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,OHN-UNF,BASE,TAR-BASE,,FRAST6,FRA-2500,"407,1",0,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST1,FRA-0,"137,9",1,1,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST1,FRA-0,69,1,1,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST2,FRA-100,"132,1",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST2,FRA-100,"66,1",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST3,FRA-200,"126,3",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST3,FRA-200,"63,2",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST4,FRA-300,"120,5",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST4,FRA-300,"60,3",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST5,FRA-400,"114,6",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST5,FRA-400,"57,3",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K1,FRAST6,FRA-500,"108,8",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,BASE,TAR-BASE,K3,FRAST6,FRA-500,"54,4",1,0,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST1,FRA-300,"441,2",1,1,Grundversicherung
0032,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,BASE,TAR-BASE,,FRAST2,FRA-500,"429,6",1,0,Grundversicherung
